Year	Grid	Season	Tag	Mass	Status
Y1995	GC	October	C2061	22	None
Y1995	GC	November	C2061	22	None
Y1995	GC	August	C2063	21	None
Y1995	GC	October	C2063	24	None
Y1995	GC	November	C2063	21	None
Y1995	GC	August	C2067	19	None
Y1995	GC	August	C2069	16	None
Y1995	GC	August	C2071	17	None
Y1995	GC	October	C2071	20	None
Y1995	GC	October	C2081	19	None
Y1995	GC	October	C2082	22	None
Y1991	HC	December	C209	21	None
Y1995	GC	October	C2091	18	None
Y1995	GC	November	C2093	18	None
Y1995	GC	November	C2096	18	None
Y1995	GC	November	C2098	20	None
Y1996	GC	October	C2109	19	None
Y1996	GC	October	C2111	25	None
Y1996	GC	October	C2112	20	None
Y1996	GC	October	C2118	24	None
Y1996	GC	September	C2119	24	None
Y1996	GC	October	C2120	23	None
Y1996	GC	August	C2121	18	None
Y1997	HC	September	C216	23	None
Y1996	GC	September	C2164	20	None
Y1996	GC	September	C2167	15	None
Y1995	GC	November	C2170	26	None
Y1995	GC	November	C2171	22	None
Y1995	GC	November	C2174	17	None
Y1995	GC	November	C2175	24	None
Y1996	GE	September	C2177	18	None
Y1996	GE	September	C2179	21	None
Y1991	HC	December	C218	18	None
Y1996	GC	August	C2189	23	None
Y1996	GC	September	C2189	27	None
Y1996	GC	September	C2191	21	None
Y1991	HC	December	C220	22.5	None
Y1995	TC	August	C2201	20	None
Y1995	TC	August	C2203	19	None
Y1995	TC	August	C2204	21	None
Y1995	TC	August	C2206	20	None
Y1995	TC	November	C221	22	None
Y1991	HC	December	C221	21	None
Y1995	TC	August	C2210	25	None
Y1995	TC	August	C2211	19	None
Y1995	TC	August	C2216	18	None
Y1995	TC	August	C2221	22	None
Y1995	TC	October	C2221	24	None
Y1995	TC	October	C2227	20	None
Y1995	TC	November	C2227	28	None
Y1995	TC	October	C2229	27	None
Y1995	TC	November	C2231	18	None
Y1995	TC	November	C2241	20	None
Y1995	TC	October	C2242	22	None
Y1995	TC	November	C2242	21	None
Y1995	TC	October	C2243	22	None
Y1995	TC	October	C2246	21	None
Y1995	TC	November	C2246	22	None
Y1995	TC	October	C2253	19	None
Y1995	TC	October	C2259	25	None
Y1995	TC	October	C2260	19	None
Y1995	TC	November	C2260	18	None
Y1995	TC	October	C2262	27	None
Y1995	TC	October	C2263	26	None
Y1995	TC	October	C2263	20	None
Y1995	TC	October	C2264	20	None
Y1995	TC	November	C2264	21	None
Y1995	TC	October	C2267	21	None
Y1995	TC	November	C2267	19	None
Y1995	TC	October	C2268	23	None
Y1995	TC	October	C2270	19	None
Y1995	TC	November	C2270	19	None
Y1995	TC	October	C2272	21	None
Y1995	TC	November	C2272	23	None
Y1995	TC	October	C2274	22	None
Y1995	TC	October	C2277	21	None
Y1995	TC	October	C2278	29	None
Y1996	TC	July	C2296	22	None
Y1996	TC	July	C2297	20	None
Y1995	TC	August	C2302	23	None
Y1995	TC	October	C2307	21	None
Y1995	TC	August	C2310	22	None
Y1995	TC	August	C2311	20	None
Y1995	TC	August	C2318	19	None
Y1995	TC	October	C2318	21	None
Y1995	TC	August	C2321	21	None
Y1995	TC	August	C2325	25	None
Y1995	TC	August	C2333	19	None
Y1995	TC	October	C2337	21	None
Y1995	TC	October	C2338	21	None
Y1995	TC	November	C2339	19	None
Y1996	TC	April	C2355	29	None
Y1996	TC	May	C2355	28	None
Y1996	TC	July	C2355	27	None
Y1995	TC	November	C2360	25	None
Y1995	TC	November	C2364	21	None
Y1995	TC	November	C2365	18	None
Y1995	TC	November	C2366	23	None
Y1995	TC	November	C2370	20	None
Y1995	TC	November	C2371	25	None
Y1996	TC	March	C2371	25	None
Y1995	TC	November	C2373	18	None
Y1995	TC	November	C2375	21	None
Y1995	TC	November	C2376	20	None
Y1995	TC	October	C2388	24	None
Y1995	TC	October	C2396	22	None
Y1996	TC	March	C2396	22	None
Y1996	TC	March	C2396	24	None
Y1998	TC	July	C2476	26	None
Y1998	TC	July	C2480	20	None
Y1998	TC	August	C2480	22	None
Y1998	TC	October	C2480	23	None
Y1998	TC	July	C2483	24	None
Y1998	TC	August	C2483	26	None
Y1998	TC	September	C2483	25	None
Y1991	HC	December	C26	22	None
Y1995	TC	November	C2633	24	None
Y1995	HC	August	C2824	26	None
Y1995	HC	August	C2834	24	None
Y1995	HC	September	C2834	22	None
Y1995	HC	October	C2834	21	None
Y1995	HC	August	C2838	25	None
Y1995	HC	September	C2838	27	None
Y1995	HC	August	C2839	28	None
Y1995	HC	August	C2843	28	None
Y1995	HC	August	C2857	25	None
Y1995	TC	June	C2910	28	None
Y1995	TC	June	C2920	25	None
